niter,wavelength_m,relative_wave_speed
8,2.000,3.039631
8,2.500,1.280528
8,3.000,1.364244
8,3.500,1.449231
8,4.000,1.517706
8,4.500,1.570021
8,5.000,1.606138
8,5.500,1.620939
8,6.000,1.627249
8,6.500,1.620081
8,7.000,1.610497
8,7.500,1.595560
8,8.000,1.575638
8,8.500,1.556532
8,9.000,1.533836
8,9.500,1.512288
8,10.000,1.491777
8,10.500,1.469518
8,11.000,1.449431
8,11.500,1.429489
8,12.000,1.409886
8,12.500,1.391540
8,13.000,1.374526
8,13.500,1.357270
8,14.000,1.341591
8,14.500,1.326870
8,15.000,1.312461
8,15.500,1.298797
8,16.000,1.285970
8,16.500,1.273908
8,17.000,1.262560
8,17.500,1.251803
8,18.000,1.241459
16,2.000,3.039631
16,2.500,1.037009
16,3.000,1.071578
16,3.500,1.121274
16,4.000,1.177902
16,4.500,1.238944
16,5.000,1.296909
16,5.500,1.338925
16,6.000,1.376415
16,6.500,1.397868
16,7.000,1.415958
16,7.500,1.426185
16,8.000,1.427140
16,8.500,1.427877
16,9.000,1.420762
16,9.500,1.413493
16,10.000,1.406026
16,10.500,1.393709
16,11.000,1.383258
16,11.500,1.371222
16,12.000,1.358086
16,12.500,1.345570
16,13.000,1.334206
16,13.500,1.320878
16,14.000,1.309326
16,14.500,1.298238
16,15.000,1.286648
16,15.500,1.275470
16,16.000,1.264910
16,16.500,1.254927
16,17.000,1.245480
16,17.500,1.236413
16,18.000,1.227436
32,2.000,3.039631
32,2.500,1.001321
32,3.000,1.004240
32,3.500,1.010064
32,4.000,1.021010
32,4.500,1.042759
32,5.000,1.072807
32,5.500,1.101102
32,6.000,1.136601
32,6.500,1.164356
32,7.000,1.193292
32,7.500,1.218749
32,8.000,1.235179
32,8.500,1.253239
32,9.000,1.261475
32,9.500,1.269454
32,10.000,1.276953
32,10.500,1.277044
32,11.000,1.279078
32,11.500,1.277663
32,12.000,1.273519
32,12.500,1.269199
32,13.000,1.266322
32,13.500,1.258845
32,14.000,1.253821
32,14.500,1.248398
32,15.000,1.241268
32,15.500,1.234136
32,16.000,1.227334
32,16.500,1.220824
32,17.000,1.214592
32,17.500,1.208448
32,18.000,1.201861
128,2.000,3.039631
128,2.500,1.000377
128,3.000,1.000835
128,3.500,1.000755
128,4.000,1.000102
128,4.500,1.000663
128,5.000,1.001492
128,5.500,1.000260
128,6.000,1.001679
128,6.500,1.001701
128,7.000,1.002352
128,7.500,1.005227
128,8.000,1.006561
128,8.500,1.011949
128,9.000,1.015303
128,9.500,1.020880
128,10.000,1.028693
128,10.500,1.034676
128,11.000,1.043731
128,11.500,1.050686
128,12.000,1.055836
128,12.500,1.060184
128,13.000,1.069733
128,13.500,1.071416
128,14.000,1.078988
128,14.500,1.083906
128,15.000,1.086024
128,15.500,1.088283
128,16.000,1.090806
128,16.500,1.093303
128,17.000,1.095904
128,17.500,1.098427
128,18.000,1.099566
