niter,wavelength_m,theoretical_phase_speed_m_s,relative_wave_speed
0,2.000,1.767094,3.544908
0,2.500,1.975671,3.170662
0,3.000,2.164239,2.894405
0,3.500,2.337644,2.679700
0,4.000,2.499039,2.506637
0,4.500,2.650603,2.363305
0,5.000,2.793900,2.242093
0,5.500,2.930079,2.137889
0,6.000,3.059992,2.047124
0,6.500,3.184278,1.967223
0,7.000,3.303414,1.896276
0,7.500,3.417761,1.832833
0,8.000,3.527594,1.775767
0,8.500,3.633125,1.724186
0,9.000,3.734528,1.677370
0,9.500,3.831944,1.634727
0,10.000,3.925500,1.595767
0,10.500,4.015308,1.560075
0,11.000,4.101479,1.527299
0,11.500,4.184117,1.497134
0,12.000,4.263328,1.469318
0,12.500,4.339219,1.443620
0,13.000,4.411895,1.419840
0,13.500,4.481466,1.397798
0,14.000,4.548042,1.377337
0,14.500,4.611731,1.358315
0,15.000,4.672645,1.340608
0,15.500,4.730891,1.324102
0,16.000,4.786580,1.308697
0,16.500,4.839817,1.294302
0,17.000,4.890708,1.280834
0,17.500,4.939355,1.268219
0,18.000,4.985858,1.256390
8,2.000,1.767094,1.276523
8,2.500,1.975671,1.304127
8,3.000,2.164239,1.380432
8,3.500,2.337644,1.465787
8,4.000,2.499039,1.532669
8,4.500,2.650603,1.585062
8,5.000,2.793900,1.615337
8,5.500,2.930079,1.631105
8,6.000,3.059992,1.634022
8,6.500,3.184278,1.628163
8,7.000,3.303414,1.615882
8,7.500,3.417761,1.599667
8,8.000,3.527594,1.580139
8,8.500,3.633125,1.559609
8,9.000,3.734528,1.537968
8,9.500,3.831944,1.515900
8,10.000,3.925500,1.493771
8,10.500,4.015308,1.472266
8,11.000,4.101479,1.451135
8,11.500,4.184117,1.430928
8,12.000,4.263328,1.411500
8,12.500,4.339219,1.393009
8,13.000,4.411895,1.375425
8,13.500,4.481466,1.358574
8,14.000,4.548042,1.342443
8,14.500,4.611731,1.327512
8,15.000,4.672645,1.313054
8,15.500,4.730891,1.299459
8,16.000,4.786580,1.286644
8,16.500,4.839817,1.274420
8,17.000,4.890708,1.262963
8,17.500,4.939355,1.252208
8,18.000,4.985858,1.241822
16,2.000,1.767094,1.035479
16,2.500,1.975671,1.050060
16,3.000,2.164239,1.079512
16,3.500,2.337644,1.133538
16,4.000,2.499039,1.189187
16,4.500,2.650603,1.253054
16,5.000,2.793900,1.304986
16,5.500,2.930079,1.351293
16,6.000,3.059992,1.384169
16,6.500,3.184278,1.408487
16,7.000,3.303414,1.424118
16,7.500,3.417761,1.432239
16,8.000,3.527594,1.434577
16,8.500,3.633125,1.432626
16,9.000,3.734528,1.427487
16,9.500,3.831944,1.419426
16,10.000,3.925500,1.409361
16,10.500,4.015308,1.398374
16,11.000,4.101479,1.386094
16,11.500,4.184117,1.373696
16,12.000,4.263328,1.360924
16,12.500,4.339219,1.348264
16,13.000,4.411895,1.335818
16,13.500,4.481466,1.323308
16,14.000,4.548042,1.310848
16,14.500,4.611731,1.299423
16,15.000,4.672645,1.287704
16,15.500,4.730891,1.276719
16,16.000,4.786580,1.266120
16,16.500,4.839817,1.255945
16,17.000,4.890708,1.246257
16,17.500,4.939355,1.237170
16,18.000,4.985858,1.228103
32,2.000,1.767094,1.008590
32,2.500,1.975671,1.011316
32,3.000,2.164239,1.008547
32,3.500,2.337644,1.017427
32,4.000,2.499039,1.024808
32,4.500,2.650603,1.050884
32,5.000,2.793900,1.076356
32,5.500,2.930079,1.110811
32,6.000,3.059992,1.142184
32,6.500,3.184278,1.174307
32,7.000,3.303414,1.202489
32,7.500,3.417761,1.225243
32,8.000,3.527594,1.244573
32,8.500,3.633125,1.259091
32,9.000,3.734528,1.270203
32,9.500,3.831944,1.277596
32,10.000,3.925500,1.281678
32,10.500,4.015308,1.283780
32,11.000,4.101479,1.283076
32,11.500,4.184117,1.281277
32,12.000,4.263328,1.277798
32,12.500,4.339219,1.273746
32,13.000,4.411895,1.268957
32,13.500,4.481466,1.262993
32,14.000,4.548042,1.256243
32,14.500,4.611731,1.250388
32,15.000,4.672645,1.243188
32,15.500,4.730891,1.236387
32,16.000,4.786580,1.229651
32,16.500,4.839817,1.222703
32,17.000,4.890708,1.216056
32,17.500,4.939355,1.209787
32,18.000,4.985858,1.203075
128,2.000,1.767094,1.007940
128,2.500,1.975671,1.010465
128,3.000,2.164239,1.007104
128,3.500,2.337644,1.008944
128,4.000,2.499039,1.002706
128,4.500,2.650603,1.008055
128,5.000,2.793900,1.004443
128,5.500,2.930079,1.006687
128,6.000,3.059992,1.006335
128,6.500,3.184278,1.007111
128,7.000,3.303414,1.008730
128,7.500,3.417761,1.008802
128,8.000,3.527594,1.010088
128,8.500,3.633125,1.015665
128,9.000,3.734528,1.019513
128,9.500,3.831944,1.025729
128,10.000,3.925500,1.032857
128,10.500,4.015308,1.039387
128,11.000,4.101479,1.046744
128,11.500,4.184117,1.053551
128,12.000,4.263328,1.060024
128,12.500,4.339219,1.066573
128,13.000,4.411895,1.072786
128,13.500,4.481466,1.078141
128,14.000,4.548042,1.082302
128,14.500,4.611731,1.087154
128,15.000,4.672645,1.089963
128,15.500,4.730891,1.093448
128,16.000,4.786580,1.095948
128,16.500,4.839817,1.098050
128,17.000,4.890708,1.099561
128,17.500,4.939355,1.101520
128,18.000,4.985858,1.102291
